gene,mean_z,n
IFIT3,1.3614332659473576,2
RNPEP,1.3610709620006343,2
SH2B1,1.3607500273412603,2
ABCB1A,1.3606659973873831,2
SFXN3,1.360569830307416,2
C2CD5,1.3601698736555368,2
ZEB2,1.3586012606892806,2
DBT,1.357059953888702,2
THAP3,1.356880720052568,2
PLIN3,1.356769744489331,2
MSRA,1.3566539807188234,2
NCK2,1.356403523604124,2
CAMK2D,1.3542794116071921,2
MIF,1.3540162332992716,2
SARM1,1.3539106888069705,2
AI837181,1.353670536960128,2
GM30794,1.3528453804815426,2
RHBDL3,1.3516982992338669,2
PLEKHH1,1.3510944959622833,2
BEX1,1.3492885070033258,2
MTHFS,1.3488043911311147,2
AMIGO1,1.3486134740645643,2
INTS15,1.3484516952675585,2
PLPP7,1.3473471468587501,2
KCNN2,1.347192198619433,2
DPH7,1.3457323339271094,2
ACACA,1.3456858083730512,2
CCN4,1.3455695786283972,2
EGFLAM,1.345238730442231,2
TTC4,1.3449258337820222,2
RPL36A,1.3438943405569663,2
NUDT6,1.3437796316893134,2
MACROD1,1.3436590118304128,2
TLE1,1.3429092414627806,2
PRKRIP1,1.3421804673174091,2
TMEM39B,1.3421717536263773,2
MTARC2,1.3414960530522158,2
GTF2H5,1.3414306611351956,2
COL1A1,1.340590270254611,2
SEMA6C,1.3405676765322276,2
FKBP4,1.3405229585588319,2
AP1B1,1.3395886881174124,2
EPOP,1.3382031415107392,2
4930481A15RIK,1.3381740746615078,2
MFSD13A,1.3366838162430275,2
GRM5,1.3366809125262586,2
AMPH,1.3366174785005065,2
RNF34,1.3365939273137768,2
2310016D03RIK,1.3362657482642408,2
RPIA,1.3361291152762054,2
MYO1A,1.3354784390053127,2
GTF2F1,1.3345062171614954,2
ALG3,1.3343470197938239,2
KDELR2,1.3337414222821633,2
PPFIA4,1.332537951088405,2
TSPAN7,1.3322093520142546,2
PPP1R14B,1.3315476994737816,2
NUP62,1.3307999833592405,2
RAB3D,1.3295277140948638,2
ZBTB16,1.3286057492755141,2
ODAD4,1.3280228034856858,2
DHX58,1.327535074284678,2
ACTR1A,1.3251140614225805,2
LARP6,1.3250091844893739,2
IRGQ,1.324099414172421,2
PRDM15,1.3227079242672586,2
TAF12,1.3225950843603371,2
ATF6B,1.3224178918438079,2
SEMA5B,1.3210359876178674,2
MPV17,1.3209436456822776,2
SYT7,1.3202892696617268,2
ALDH1L2,1.3202652773608046,2
EGFR,1.3202551000824554,2
NCTC1,1.3189059378337618,2
ZMAT5,1.3184869266970605,2
TOR3A,1.3178240863800594,2
BAALC,1.317156986408616,2
H2BC26,1.3159095918841714,2
RAB44,1.3158553875036578,2
DLG5,1.3154117255010003,2
