gene,mean_z,n
MMAB,0.8638657035087456,3
GM5617,0.8632369127028956,3
ATP6V1E1,0.8629825548549338,3
ASB1,0.8628219961661406,3
GM15383,0.862720828403827,2
B430010I23RIK,0.8623323671482821,2
HINT2,0.8621896177676703,3
FSD1L,0.8614183996518486,3
5033421B08RIK,0.8609512618139087,3
ITGA2,0.8608959401314745,3
TSPAN9,0.8608472830687771,3
GPR34,0.8606768168949367,3
APH1C,0.8598785725884549,3
COX6B1,0.8598660553753975,3
ACE,0.8595964352190878,3
GNGT2,0.8589353988337806,3
SMPDL3B,0.8579820512415641,3
LURAP1L,0.8576887108212032,3
RNF122,0.8575714051421933,3
DISC1,0.8575221385539064,3
LOXL1,0.8573560066144936,3
SHISA7,0.8572755966319218,2
LAMP2,0.8571648210287032,3
TMEM240,0.8569478753896812,3
RIN2|BC039771,0.8563094573777965,3
SLC16A7,0.8561520077119301,3
NKD1,0.855911775662847,3
PTGIS,0.8549680077519971,3
LEFTY1,0.8547274381981554,3
TMED2,0.8546492920615515,3
SMIM12,0.8545019452011408,3
IGHV11-2,0.8537017040782158,3
FOXK2,0.8536729367900949,3
CABCOCO1,0.8536316558387392,3
GALNT15,0.8532931633481544,3
SERTAD4,0.8532852973998787,3
GM13387,0.8528695630575064,2
LRRC59,0.8526917571374577,3
SCP2-PS2,0.8518657870252649,2
PLEKHF1,0.851348433263248,3
RAB5C,0.8506562994995174,3
SLC30A9,0.8506345906569827,3
ACKR4,0.850598769357734,3
DNAJA2,0.8505763432497658,3
RAB40B,0.8505392433789738,3
MAGED2,0.8505280027685974,3
PPIP5K1,0.8505260346426757,3
SYDE1,0.8501412081036334,3
