gene,mars_delta,mars_delta_lo,mars_delta_hi,mars_se,iss_delta,iss_delta_lo,iss_delta_hi,iss_se,mars_over_iss,mars_over_iss_lo,mars_over_iss_hi
OPRM1,43.72290335616429,-68.06771166751703,160.9572602187661,59.5761672156578,0.572510729110867,-2.6754943653242282,3.855130947975915,1.7060934471308415,76.37045234779754,-17.656394188958764,-60.15982029521508
POLR3D,-11.98459074731961,-45.97397278586495,24.560874191316586,18.48353610603779,-0.023420881638763574,-1.0476730540335966,1.0377642074850821,0.541331432327315,511.70536328077765,-44.30098133493954,-23.44326228183108
TCF7,56.270432869664056,-59.15502816846472,183.13371140630125,61.637092993607574,1.120448816575502,-2.253106191500685,4.36120389357231,1.7451150908125643,50.221332770600725,-13.563921708785365,-81.28055042284747
DDX3X,15.94328019978906,-41.038277974799925,73.17083199168594,28.597220892093276,0.7307481324677467,-0.8290415227588971,2.28562781459445,0.7904284079745413,21.817750181513812,-17.954925868839037,-88.25955031563066
IL12RB1,23.371121087913277,-138.09150415122105,181.65209462337214,82.7537672148855,-0.5773566553847798,-4.91389679929329,3.7602719923227874,2.3012391571319095,-40.47952140144219,-36.72380732913936,-36.96701457985384
SLC5A5,0.5955519588965585,-57.456651047145186,59.758775865479585,30.79001457530403,0.07029187136921078,-1.6176197843948923,1.8088900410580486,0.896191725634406,8.472558025499119,-31.763484646937343,-36.942411586437
KCNN3,28.37559634753842,-58.75198440028437,119.84001879886208,46.68827244480988,-0.025322733400128618,-2.6510029061724936,2.594496617355802,1.3380186824752602,-1120.5581916916717,-22.64484910377792,-45.205540333370124
USP32,-1.255441078272978,-54.713154562753836,53.69445176770823,27.261451177570397,0.25659908855904096,-1.3221865120177416,1.824205618280002,0.8130291505015874,-4.8926170600333725,-29.992865943665663,-40.61034602884206
CAR4,-42.5474797125043,-143.3443630495449,56.46279740235775,51.053992708124504,-1.2190541574861191,-4.208009516892467,1.7048468939230292,1.4893319200054649,34.902042252367096,-84.08049048891111,-13.417934815901848
TXNRD3,24.444989470131084,-57.048441255793605,104.18671910210276,41.572218984788385,0.7961417070876671,-1.6235319872613867,3.166947210399203,1.2049841353662194,30.704319661322963,-18.013701355193252,-64.17287735602146
FASL,-10.772448505464608,-127.89702160000131,108.3892593323803,59.70237347050304,0.3792977841614848,-3.0379954613202567,3.7583259417634363,1.7119275066714963,-28.401031999908213,-34.03031657759598,-35.67788718330617
ZFP512B,13.111221334287377,-67.072938874241,88.83113647787299,37.606017981990185,-0.14097001899504483,-2.2384816297345025,1.9982292620145805,1.0728128881035601,-93.00716157772699,-33.566187899089826,-39.68365667955421
DNAJC5,-4.306818521651938,-40.69840896122629,32.073411521047106,18.74066974123326,-0.012598389701611182,-1.034197061500759,1.0191507301686076,0.5264416752836751,341.8546833093398,-39.93365039781032,-31.01286274639407
