gene,mars_delta,mars_se,iss_delta,iss_se,mars_over_iss
S100A4,-20.32353104951597,131.23540552954546,-1.9758898666230924,3.738823600600007,10.285761060281176
S100A3,-117.50546727896656,142.72465327965168,-0.24210628732511386,4.066145869067922,485.3466160553429
S100A5,100.47984301618831,141.51708132715964,1.1486837523399065,4.031742816803316,87.47389593655136
S100A6,-31.818502392115818,54.842805773067084,-0.9674680463498471,1.5624409870193334,32.88842718078763
SCN4A,-3.614263269675753,59.662483696427856,-0.6932479835557233,1.6997509263184138,5.213521503716337
ICAM2,-38.49417954711603,52.382193718772236,-1.0552518801379775,1.4923395202436829,36.47866473555375
MAPK7,2.874897165747207,35.24429657944086,-0.06998469177829036,1.0040903771817373,-41.078943018779086
EPN2,-2.562403610686058,22.862535462909495,0.4200442222864618,0.6513409000670668,-6.100318668205724
B9D1,17.85178818749131,38.01193896188519,-0.13437741899617572,1.082938966979207,-132.84812523448866
SEC24B,-0.9255865583060133,26.436098498119847,0.7982656267640532,0.7531497203344639,-1.1594969484757647
N4BP3,7.465474199667071,26.944640408406897,0.4124914315166285,0.7676377960820345,18.098495215326963
RMND5B,-14.198595198090924,34.421686258312654,-0.013329780505203503,0.9806546673569307,1065.1784695590648
NHP2,10.715094576204516,37.38409178322459,0.6480501245856944,1.0650519505930842,16.53436079972177
VPS9D1,-26.631291121529586,26.432101213356088,-0.2535044538105929,0.7530358399181769,105.05255714926132
ZFP276,1.0866745101486117,56.5792690091357,0.33573220399311277,1.6119118573411841,3.236730040264186
C1QL4,-95.99318335419443,181.3145846585314,-1.8655704582620287,5.1655515180443174,51.455136914861946
MFSD10,7.772776289349789,41.58807501458157,0.039497286531937625,1.1848210910815145,196.79266531549447
LUZP1,2.919516104594485,38.132371229053724,0.3083646240067117,1.0863700151856466,9.46774006259207
KCTD10,-18.583956404728962,20.208577980906345,-0.05554629121865229,0.575731129756505,334.5670070315788
POLDIP2,-5.65647420030864,14.049301635505676,-0.5812177160663574,0.4002567776189874,9.732109059908357
SEBOX,-76.42183372858517,120.50347481413515,-3.1657779606009244,3.4330768725971983,24.13998539369415
IFT20,-13.474273936571507,24.422302243779416,-0.6396840255402003,0.695777786806716,21.06395251185576
COL6A1,-21.544088761990167,73.25974935145945,1.7898490724586809,2.0871294506543236,-12.03681868683792
PCBP3,10.174795932926319,27.56166692638201,0.6273298764701878,0.7852165378727326,16.21921147798203
LGALS9,27.263197915639502,36.379195739084444,-0.11739849418800546,1.0364230220595045,-232.2278331098472
ARAF,1.0347473215666412,20.77614287115255,-0.4699867759651375,0.5919007373251479,-2.2016519921049786
CFP,-46.287819233071374,82.28397049690996,-0.3483937144511007,2.3442244842658746,132.8606611230013
TIMP1,19.50607732976138,119.73119518040268,-0.8865177862325229,3.4110750560202563,-22.00302986887301
UXT,-49.81115362560458,73.80477197681267,-1.633941095329427,2.1026568416530145,30.485281120591377
CNNM3,0.09704508243270382,31.365215305661174,0.21524456558360644,0.8935775124823707,0.4508596171502832
LMAN2L,-4.1238374245811045,28.596519685064607,0.11079929411945655,0.8146989165166316,-37.21898643266673
MCM3AP,11.932303171352196,30.344874508245635,1.408828729215346,0.8645085715312703,8.469662013492547
PCNT,-4.2702125073874235,27.603441958368133,0.12025931015718805,0.786406685263791,-35.50837354551537
FTCD,38.35600856768717,112.88995490673604,-1.0254676490894514,3.2161719314453747,-37.40343110945022
MXD1,15.728396570028977,38.07835257614545,0.7605940548057364,1.0848310538546615,20.679094808394435
GMCL1,-5.942509715003217,23.82569794733428,-0.09335786795929518,0.6787808627314798,63.65301441539133
SNRNP27,14.350837894406665,23.18916402061104,0.36042795931067395,0.6606463657318908,39.81610616960167
OAS1C,34.18036856324542,92.73201678730547,1.3666968592422408,2.6418835031340544,25.009473265488136
OCRL,-8.749840135525929,20.800660365399544,-0.0727925896676669,0.5925992270791005,120.20234718222208
CALM1,-23.106536391719146,25.443371446587673,-0.8531667261259239,0.7248674796217076,27.083260146163642
AGPAT3,13.956376945133554,26.57213063316918,0.6884181505161946,0.7570252000871264,20.273110078037142
SLC26A3,1.2004134216740816,113.63770599229949,0.46321151653076964,3.2374749433482832,2.5915016765226344
SEMA6B,-17.731149920208896,27.155159957563452,-0.15160788839794623,0.7736353807703905,116.95400620360526
UHRF1,-28.57538201764544,99.18692275435303,-0.5187978682358592,2.825780178515744,55.079991201225056
DPP9,-9.88944673241898,17.215568045053836,-0.039666862563103866,0.49046194390043385,249.31255192382292
RAMP2,-16.439831328454872,32.419633769679514,-0.5431639940463897,0.9236173071724769,30.266791445404248
LSR,14.756308088826518,34.657291873155806,-0.15307138152832586,0.9873669400828387,-96.40148237700372
GRAMD1A,-25.858528626761046,24.438571023295285,-0.3098285434291206,0.696241275272816,83.46076943255132
HPN,-94.17179264445748,124.47060425564214,-1.5881336538914548,3.5460981805490537,59.29714568651406
GABRG1,30.416919802102306,62.72518585137512,-0.3154996685470813,1.7870056046753704,-96.4087218924075
CKB,5.368432936543179,22.897950927315346,0.12184096728726501,0.6523498669202756,44.060984216302224
SP1,10.206983125542845,26.74158086426987,-0.3518575822373061,0.7618527427811865,-29.00884801356609
ITGB7,50.34500755345029,112.46127456402895,0.32523446677657075,3.203959067272332,154.79604007663877
MYG1,5.845943374319816,22.45331605839931,0.45109633716136555,0.6396824671827965,12.959412198083562
RARG,10.9033531850924,41.85205923966105,-0.18766610449763532,1.1923418546051276,-58.09974696432081
PFDN5,6.069345871772761,25.46699572804177,-0.12447048240418118,0.7255405222407432,-48.761326818549236
EFNB2,12.849092075968073,59.385101916247976,1.2362740842019313,1.69184847391292,10.393400816343021
RRP15,8.89574758333206,32.47806618313394,0.5906600486572106,0.9252820140827948,15.060689483833205
RND2,-5.573147761087451,38.7709002867211,-0.07884164395767623,1.104561352354473,70.68786850866819
SRR,-4.900518576002895,32.28665013262546,0.11678884144812096,0.9198286774295726,-41.960503377197774
SYNC,-7.938942386047878,62.07145790964966,0.499770583016976,1.7683812597660657,-15.885173429221645
FNDC5,20.889603142260736,51.479393887201084,-0.7621832715186369,1.4666192559348568,-27.407585449413716
