gene,iss_delta,linear_mars_delta,linear_mars_over_iss,cap5_mars_delta,cap5_mars_over_iss,sqrt_after5_mars_delta,sqrt_after5_mars_over_iss,log_after5_mars_delta,log_after5_mars_over_iss,linear_extreme_gt5,min_bounded_abs_over_iss,max_bounded_abs_delta,max_abs_delta_shrink_frac,bounded_sign_stable,robust_regime_flag,saturation_sensitive_flag
ENSMUSG00000105656,0.015583695694254218,0.27579445257783775,,1.0845869757974267,,1.1694721196393258,,1.1725341860293712,,False,,1.1725341860293712,-3.2514785017238363,True,False,False
ENSMUSG00000105659,-0.0721649428277617,-1.7577035439930468,,-0.7414679823063836,,-1.135634723480679,,-1.0499545598002142,,False,,1.135634723480679,0.35390997682077197,True,False,False
ENSMUSG00000105660,-0.26209276802107473,0.2485352899806479,-0.9482722161973707,-1.6319078790450057,6.226451387295756,-1.5773582772542367,6.018320494548718,-1.6256383535994336,6.202530370730096,False,6.018320494548718,1.6319078790450057,-5.566101253355503,False,False,False
GM6639,-0.024798941826199683,-7.322294825090776,,-4.225095126221486,,-5.936754252736155,,-5.5922359652006115,,False,,5.936754252736155,0.1892221776712526,True,False,False
ENSMUSG00000105663,-0.15988511300478447,-2.3656643653873655,14.79602647756564,-3.444980755753369,21.54660112508586,-4.025821929465469,25.17946701732636,-3.953510009401075,24.727192764236708,True,21.54660112508586,4.025821929465469,-0.7017722329373046,True,True,False
ENSMUSG00000105664,0.1777284670632321,-1.2401442874102062,-6.977747053706308,0.004688856905242789,0.026382137778606908,-0.2951807421068411,-1.6608523495666112,-0.2201227158118637,-1.2385338119950624,True,0.026382137778606908,0.2951807421068411,0.7619787107810921,False,False,True
ENSMUSG00000105671,1.0046859889762185,10.777818999428115,10.727549819233353,5.185037457888893,5.160853754089355,7.532329085414278,7.497197301506882,7.031706071334453,6.998909259697954,True,5.160853754089355,7.532329085414278,0.301126778449893,True,True,False
ENSMUSG00000105674,-0.2430579153664782,-3.07389430199467,12.646756627365578,-0.9416228659472117,3.8740678925327336,-1.6045387127343056,6.601466610601889,-1.4515818527454996,5.972164496502126,True,3.8740678925327336,1.6045387127343056,0.47801109761870797,True,False,True
GM43403,-0.6966283410047563,-4.771106267734183,6.8488546717073735,-3.6861142691565156,5.291364206974388,-4.721029124453765,6.776969650193332,-4.529213688834732,6.501621341305446,True,5.291364206974388,4.721029124453765,0.010495918654983005,True,True,False
ENSMUSG00000105677,-0.0070074183217286,0.5899599303264625,,0.22338980740549105,,0.3598020124386527,,0.32983865871274776,,False,,0.3598020124386527,0.39012466111121946,True,False,False
ENSMUSG00000105679,-0.38637714197760387,0.4392239882828832,-1.1367752917131484,1.283152627677183,-3.3209848313220354,1.4698385530152631,-3.8041550426408546,1.45700232037747,-3.7709330135837185,False,3.3209848313220354,1.4698385530152631,-2.3464441656784243,True,False,False
ENSMUSG00000105681,1.021838149780904,6.802266204025386,6.656891999465752,4.109821561129938,4.0219887679973,5.552956487383176,5.4342818268957815,5.2607875606272145,5.14835696999099,True,4.0219887679973,5.552956487383176,0.18366080937892504,True,False,True
ENSMUSG00000105691,-0.3653906743450498,-2.022952990537637,5.536411114387937,-0.5849847567771593,1.6009843650928541,-0.9892489713581742,2.707373342604786,-0.8930899902314409,2.444205758212833,True,1.6009843650928541,0.9892489713581742,0.5109876621031796,True,False,True
ENSMUSG00000105692,0.007249051200394707,0.5104116396012874,,0.36295609122094263,,0.4831067199609387,,0.4603875873039476,,False,,0.4831067199609387,0.053495879642710076,True,False,False
ENSMUSG00000105694,-0.17974728903198822,-3.010402514913794,16.747971728119115,-2.560275658129946,14.243751168198779,-3.258408835341961,18.12772171914141,-3.1349131087090316,17.440669762486017,True,14.243751168198779,3.258408835341961,-0.08238310963385209,True,True,False
ENSMUSG00000105699,-0.33335481751239315,1.3044193398334647,-3.9130058163475323,1.319770601900482,-3.9590566344565183,1.6897913677113876,-5.069047390168784,1.6296527251052197,-4.888643089865153,False,3.9590566344565183,1.6897913677113876,-0.29543569012640014,True,False,False
ENSMUSG00000105701,0.0656581576398339,-0.1311736322431596,,-0.7615263690660652,,-0.8189910628274628,,-0.8227979113906134,,False,,0.8227979113906134,-5.272586169340603,True,False,False
GM43305,0.2526734275686463,2.5135465058561213,9.947807056890623,2.274490693097718,9.001701187908983,2.845185585022509,11.260327658512999,2.746931550579878,10.871469853447854,True,9.001701187908983,2.845185585022509,-0.13194069749404957,True,True,False
ENSMUSG00000105707,-0.2023173066782413,-1.4190013972996471,7.0137420302672355,-1.0021480665826041,4.953348198611535,-1.3083833815500525,6.46698694754207,-1.2496188885411867,6.176529873089597,True,4.953348198611535,1.3083833815500525,0.07795483215175136,True,False,True
ENSMUSG00000105708,0.6122210454316549,11.224533136489917,18.334118404204652,6.983020661931943,11.406044784050943,9.532163748777585,15.569807375793168,9.026847626957055,14.744425553996681,True,11.406044784050943,9.532163748777585,0.1507741450921105,True,True,False
ENSMUSG00000105710,-0.42708537109777117,-1.2126511819265766,2.8393648295880607,-0.8098327589478044,1.8961847296858412,-1.0318446439322941,2.416014955698582,-0.9871357660166935,2.3113312532325345,False,1.8961847296858412,1.0318446439322941,0.14910020349547637,True,False,False
ENSMUSG00000105711,-0.5968275476789942,1.4610746423218104,-2.448068370844797,-0.3700330795609743,0.6199999999999966,0.03310217085015843,-0.05546354383085975,-0.07110267428896577,0.11913437066616202,False,0.05546354383085975,0.3700330795609743,0.7467390995350172,False,False,False
ENSMUSG00000105714,-0.029459427730127996,4.636541749695466,,3.1335499532436693,,4.2354446917286594,,4.0239342113698235,,False,,4.2354446917286594,0.0865078068138071,True,False,False
ENSMUSG00000105715,-0.4990116102899984,-9.95472800837453,19.948890573085833,-7.161352732970601,14.351074374419488,-9.452468517351353,18.942381945498408,-9.01962969423856,18.07498965604596,True,14.351074374419488,9.452468517351353,0.050454366066119194,True,True,False
ENSMUSG00000105717,-0.9556500444515479,-4.133352369908695,4.325173628052145,-0.8521648001179294,0.891712196389831,-1.6380669882780219,1.7140866552443017,-1.4409621819191933,1.507834578447771,False,0.891712196389831,1.6380669882780219,0.6036952958079869,True,False,False
ENSMUSG00000105719,-0.1520494714912013,0.6084858474664938,-4.001893867166157,0.08691779735182137,-0.5716415617850475,0.24606815381705838,-1.61834271045985,0.20914460574752347,-1.375503667959978,False,0.5716415617850475,0.24606815381705838,0.5956057896143458,True,False,False
ENSMUSG00000105720,-0.5546151582366046,-8.323358912193822,15.00744937923783,-2.3437946857444834,4.225983821279901,-4.149474760750348,7.481718988611088,-3.729251810304911,6.7240351348528655,True,4.225983821279901,4.149474760750348,0.5014663185230044,True,False,True
TRAV7D-6,0.9933308972784063,21.47382839266811,21.618001062388704,10.322580520781234,10.39188506978261,15.152088202835497,15.253817478496028,14.129514409370518,14.224378249064332,True,10.39188506978261,15.152088202835497,0.2943927870817422,True,True,False
ENSMUSG00000105726,0.22788251654323444,-0.787958923292854,-3.457741889309707,-0.3892023633887449,-1.7079079575413785,-0.6067606947185934,-2.6626030988361378,-0.5628645456016912,-2.469976872907243,False,1.7079079575413785,0.6067606947185934,0.22995897783229524,True,False,False
ENSMUSG00000105727,-0.873185738403904,-7.20966309407787,8.256734823975036,-5.316663809632593,6.088812008486214,-6.901556620933324,7.903881519582165,-6.602961283885284,7.561920669885007,True,6.088812008486214,6.901556620933324,0.04273521094177479,True,True,False
