gene,module_color,kME_assigned,kMEblack,kMEblue,kMEbrown,kMEcyan,kMEdarkgrey,kMEdarkorange,kMEdarkred,kMEdarkturquoise,kMEgreen,kMEgreenyellow,kMElightcyan,kMElightgreen,kMEmagenta,kMEmidnightblue,kMEorange,kMEpink,kMEpurple,kMEsaddlebrown,kMEtan,kMEturquoise,kMEwhite,kMEyellow
Lilrb4a,turquoise,0.43747615676166296,0.3693296071837016,-0.12903259780169002,0.21576636574154956,0.11317282665266948,0.0013188891161117278,0.3419038203268807,-0.00744383767225102,-0.03473477144980326,0.17915926090432427,-0.22370794269281796,-0.09826658431309597,0.3204055521909699,0.15820105549827437,0.09525398250663866,-0.30653627544498246,0.08710225850282258,0.24847272448035237,0.30817335219830244,-0.018286306218051926,0.43747615676166296,-0.09369305035230328,-0.14736008721956917
ENSMUSG00000121445,grey,,-0.18775227213529364,-0.11865629865296248,-0.04304712744188312,0.0327940416073362,0.045823334566227246,0.17488232136228388,0.14379482012707465,-0.18678853269737428,-0.03705033190616328,0.23961141633319064,-0.14825975687768292,0.061911920794321666,-0.18826778698111946,-0.022095531358841923,0.16685696048694004,0.11185420399477809,0.003269309193542378,-0.21575137826971047,-0.16784913920288927,0.11634316605515672,-0.09338848492406725,-0.09472693151108279
Alb,midnightblue,0.881394633608106,0.07001773875461965,0.13725860109436028,0.12150661734058164,0.10111413910666088,-0.16967200217026115,-0.11917505229951221,-0.18786501935018052,0.21351311733149408,-0.028804265087571248,-0.1866767713166257,0.45990949658013874,-0.12274495097728286,0.28508051525650835,0.881394633608106,-0.2937908649642716,-0.1953897313902298,-0.21310051878282738,-0.15143546562698573,0.042054869937767594,-0.1183436297388349,0.16481881758672512,-0.17325675407314178
ENSMUSG00000104217,grey,,-0.21750271300162793,-0.18505180602545154,-0.2423757460388325,-0.08997534792226862,0.0784760311981061,-0.3161316285884024,0.017238056311472814,-0.18536091200747928,-0.28602481853042816,0.2961775410045161,-0.24252323360415864,0.20008047221415684,-0.32764895197637983,-0.010939549960568572,0.4022128391359946,-0.14364730663213096,-0.175933046372501,-0.1471047061186913,-0.034580511484079146,-0.28474596501320915,-0.16488363162741806,0.05738476658303679
Gm47995,cyan,0.6320556132644696,0.06447294046700848,0.11503542430928237,0.24909410270610663,0.6320556132644696,0.1676564116870343,0.3216458266881079,-0.019187710665567667,-0.0963363095577071,0.4563161575446043,-0.01672214884444782,0.12021312652783135,-0.18359335736448795,0.20270261897510441,0.1857490834983488,0.10840700743810018,0.09525945862127788,0.13650228567751277,0.0791739963387126,0.12582962763865368,0.03507136364400892,0.2949316105444273,0.17392819677264704
Zfp939,grey,,0.028690111714661216,0.04395132431616482,0.05140496748571121,0.007174337569018988,-0.018501616812635888,0.03481980232892494,0.003074337467963882,0.068987593172963,0.12979129369874776,0.050626362956883275,-0.03475800306478151,-0.0983972388189513,0.048244942368194675,-0.16131957117660484,-0.020318638861896384,0.19786909120473206,0.06799772718295244,0.15524838075485953,0.017859756741820398,0.049857955717617995,-0.09530211094185043,0.05465225057962836
ENSMUSG00000116093,grey,,0.0558204730893537,0.03077123421051464,0.07084324931479362,-0.00709904940824353,0.3188863609376483,-0.02821328859945729,-0.016336116313895494,0.0695831298959044,0.13917982888876598,0.021891666054825617,-0.06817582656614503,0.05447002539949339,0.06651944487316352,-0.13086401427467292,0.0016887362861115085,0.08012047939654192,0.06783312357736705,-0.0097701953617556,0.04244012189819585,0.07826592181819643,0.010941706230588712,0.06371415981695011
Ube2d-ps,grey,,-0.18719586427070464,-0.28055853498923106,-0.383767583154149,-0.36433910506164996,-0.1553007177513142,0.06729926331337188,0.3916581762984111,-0.32805287354369955,-0.22727283513242222,-0.008091517755882145,-0.13452387853767886,-0.30998493253706166,-0.5395992063472979,0.04116682720875436,0.21490014361011103,-0.137023647588599,0.2907150685823263,0.09447628833084312,-0.11993608360108766,0.08433916293845498,-0.4411781436956511,0.0774769067740224
Nnt,grey,,-0.22686321447714183,-0.41285510284085625,-0.08702150539435238,-0.3331561135270517,-0.1442680651742186,-0.10402605794908477,0.22273746647949527,-0.1781699462036647,-0.2867882341281387,0.19333845268875793,-0.23980496766934675,0.08637105233426937,-0.404342750173432,-0.2904931583065907,0.1538740804427738,-0.06716753245023914,0.07220359379331481,0.011303831243616448,0.009030395558076667,0.11028447194326815,-0.4259746680230558,-0.04591092572403218
Scp2-ps2,grey,,0.1824051327007946,-0.013195967651436704,0.1549100606831335,-0.042481087899033466,-0.07241388104588081,0.24550000089307056,-0.033192230599373526,0.05927225925132086,0.21883233810982097,-0.1464915158565806,-0.05848444575715915,0.05367997251783537,0.14858185136122162,0.06923760533057517,-0.19978413220803803,0.09508233417700844,0.225603757618465,0.0018759347291692247,-0.01639831498140355,0.33798291294106403,-0.11678553333747,-0.0813723581344129
