stressor,gene,n_environments,mean_beta,std_beta,cv,icp_score,environments
HLUxIR,ENSMUSG00000107263,3,-0.07907126549530295,0.6210770279984071,7.854648793760004,0.11293502693237413,analog_spleen|analog_skin_analog|analog_brain
HLU,PIGR,3,0.05481668649560459,0.4306005652505724,7.855282486470924,0.11292694519094082,analog_spleen|analog_skin_analog|analog_brain
IR,WAC,3,0.014480705613742836,0.1137520846746009,7.855423613557996,0.1129251454971574,analog_spleen|analog_skin_analog|analog_brain
HLU,WDR72,2,-0.13598256298840816,1.068279792747213,7.856005662889828,0.11291772364039876,analog_skin_analog|analog_brain
IR,ENSMUSG00000084939,3,-0.04866590296597947,0.38232705943276757,7.856158588979222,0.11291577380337563,analog_spleen|analog_skin_analog|analog_brain
HLUxIR,NIT2,3,0.09092811367743751,0.7144299769832203,7.857085561683769,0.11290395616432272,analog_spleen|analog_skin_analog|analog_brain
combined_flight,PRRX2,6,-0.053328418222452434,0.4190336362474731,7.857604676027051,0.11289733924415052,flight_thymus|flight_gastrocnemius|flight_skin|flight_eye|flight_liver|flight_kidney
combined_flight,4930563E22RIK,6,0.0392897330380432,0.30873650214041315,7.857943294843173,0.1128930234383155,flight_thymus|flight_gastrocnemius|flight_skin|flight_eye|flight_liver|flight_kidney
combined_flight,COQ9,6,-0.09140794083635449,0.7182838205120481,7.858002336361263,0.11289227096894007,flight_thymus|flight_gastrocnemius|flight_skin|flight_eye|flight_liver|flight_kidney
IR,TRAPPC2B,3,0.021955921832369094,0.17256135242536172,7.859444294045279,0.11287389669261001,analog_spleen|analog_skin_analog|analog_brain
HLU,ZFP618,3,0.09965801023493925,0.7832674774947668,7.859553565124324,0.1128725045397891,analog_spleen|analog_skin_analog|analog_brain
