gene,module_color,kME_assigned,kMEblack,kMEblue,kMEbrown,kMEgreen,kMEpink,kMEred,kMEturquoise
ENSMUSG00000116835,grey,,0.07679799473780227,-0.11513790294041273,0.11979010313491463,-0.02621217993522279,0.23446658462916367,-0.25501405319475623,-0.04088794923662481
ENSMUSG00000084896,red,0.13566331622930902,0.14920094292063818,-0.13774085300554725,-0.030512339587401394,0.13480394520354805,-0.006486626247278936,0.13566331622930902,-0.06634570843397919
Amy2a5,blue,0.045838278076958575,0.14998145187298217,0.045838278076958575,-0.003827075277590704,-0.15609212479145995,-0.09341554992825027,0.030227380268244657,-0.04844876881011692
Gm5138,grey,,-0.12361139844278624,-0.19052821613622445,-0.14532614320750253,0.023225137828357504,0.0013099065415233492,-0.22669910045789538,-0.09202104532689098
Art1,red,0.8909168787841014,0.18280806561403903,0.5607147544974687,0.30912921344092903,0.11144878744998665,0.024857769581063133,0.8909168787841014,0.31185176590539515
Xirp2|Gm1322,red,0.9343120675003608,0.2724151257938042,0.6970832166667267,0.3482350343028988,0.16633242773868667,0.09468434456980962,0.9343120675003608,0.45505091981692086
Krt78,blue,0.9309497468810736,0.13631268363545732,0.9309497468810736,0.4643343545203738,0.3064230768804751,0.12488563710223086,0.6900726949210128,0.60344935752207
Cnn1,turquoise,0.6431043489418238,0.2934489022863523,0.15430274179624692,0.23195067287669457,0.4461915976064845,0.1743769558453271,0.262347855897599,0.6431043489418238
Zfp965,blue,0.22073186939833578,-0.08569552138033133,0.22073186939833578,0.07383626206301813,-0.10243166989792175,-0.05834883487755141,0.20726470599455016,0.0954684139376811
Gm8038,grey,,-0.15572200026364802,0.0009224043973926491,0.18016707154588615,-0.09358360584298292,-0.0676868596884524,-0.24880678087293764,-0.10145883003720638
Myh15,red,0.818561583226648,0.3434857608623027,0.5961217718777336,0.26603047408244984,0.24626807482832166,0.06882730774860568,0.818561583226648,0.5473135476942886
A530016L24Rik,turquoise,0.2952619558013261,0.11632368826894267,0.2421699471972702,0.3065377211989451,0.3299783634348848,0.31824972152482195,0.24221043283418275,0.2952619558013261
