gene,module_color,kME_assigned,kMEblack,kMEblue,kMEbrown,kMEcyan,kMEgreenyellow,kMEmagenta,kMEmidnightblue,kMEpurple,kMEsalmon,kMEturquoise,kMEyellow
Apcs,magenta,0.9281171662576392,-0.24477493194441982,-0.0025225629907435197,-0.28794137205558606,0.4134059701837058,-0.49448397953635287,0.9281171662576392,0.22935649298456895,0.343945192346077,0.01418994968536348,0.24387363300679016,-0.30246695509992555
Sbsn,salmon,0.654988481722087,-0.2674407972806606,0.39102936733392935,0.15362315429090778,0.5748699281986006,-0.11381179803736863,0.08928725250253,-0.27009220575778675,0.19093747942565437,0.654988481722087,0.3439068387642518,-0.24953334883565742
Calb1,grey,,0.20507238150133747,-0.10610838508365761,-0.024616878173665726,-0.11534080795322743,0.5699524071628621,-0.1560682404549625,0.07268526497619505,-0.1078289137718676,-0.011248207092911995,-0.2069313954293206,0.2756989537083025
ENSMUSG00000117814,turquoise,0.5447110473704455,-0.2986819482765626,0.35837916670136666,-0.12133303904617558,0.1397198595084662,-0.4039573715849578,0.17254669480574777,0.026003869843185937,0.35980785268694254,0.06543887535872196,0.5447110473704455,-0.48207396217380255
Pla2g2f,salmon,0.7851270002543885,0.002737702800074332,0.32497063316192487,0.1295530956493682,0.4263185995721869,0.44134263242521676,-0.26801037792699817,-0.20980879970108562,-0.007772068721320882,0.7851270002543885,0.051511920597895035,0.09471846979660663
ENSMUSG00000118294,grey,,-0.09738877642041252,-0.0619327083160083,-0.007101164597474065,0.04677408842441553,0.02738328273996137,-0.03860117722329434,0.02011042862507935,-0.15287316150690355,0.05201060233290583,-0.10531802270660053,0.11437985272724642
Gm13413,grey,,0.28964398199483343,-0.1758333751482259,0.1305334434218428,-0.02609251679361419,0.2791208355481279,-0.06615130147703233,-0.052791644151371296,-0.08175682073395697,-0.022997556334829264,-0.21048486600330726,0.24240241808713284
ENSMUSG00000104916,grey,,0.2318153866605794,-0.2212190909253967,-0.08156591053631701,-0.11025784951893676,0.22823198754562057,-0.15415149701192607,0.10183271803939394,-0.17401176598181808,0.0370762320187115,-0.42413973378397074,0.3867018622738486
ENSMUSG00000107558,black,0.3591970903106461,0.3591970903106461,-0.2993585151558904,0.33247499951193965,-0.2548306986633583,0.16670646675325163,-0.0654175078187091,-0.2815230277756109,-0.2357773966044684,-0.2060985376420826,-0.2506121225898042,0.3470530774868169
Slc35f1,turquoise,0.5994581520781588,-0.5282191537787637,0.5806438131055048,-0.2706039919997991,0.21676218207975287,-0.18699675694200418,0.03689971080371135,0.09084304524806948,0.39447385539745544,0.2523562660661074,0.5994581520781588,-0.466308837564757
Cyp2a12,magenta,0.9585162285073628,-0.2652133806552915,0.01323871643256748,-0.2479949431880844,0.3643216802922088,-0.5571917460442947,0.9585162285073628,0.13406970449352945,0.25098777346929735,-0.05392782624821626,0.2887166812200282,-0.3170363633518425
ENSMUSG00000103292,turquoise,0.3341135741461745,-0.2553209408562455,0.2670037275810932,-0.1234375401741568,0.30445521928683,-0.0868374871674352,0.273623579670069,-0.003065354459696928,0.17916410724498952,0.218398182321466,0.3341135741461745,-0.27536075877779453
ENSMUSG00000093575,grey,,0.13241909044636116,-0.008224447517504998,-0.049892072057605805,0.03534717981135688,-0.048562906892560063,0.10151530285768053,0.13988144071324493,0.07233005980783888,-0.0008316376422471338,-0.07046143620318861,-0.010888496372006137
Tsku,turquoise,0.6663340216679615,-0.572905489250422,0.5640533275123158,0.23412739410916994,0.2722142295441504,-0.3098247366553951,0.07337199730675437,-0.398849501888245,0.36243729291617355,0.2232966623786321,0.6663340216679615,-0.6117493464412327
Scg2,blue,0.6274304509814124,-0.27025595684112164,0.6274304509814124,0.015294060451582572,0.2829250995209796,0.16492955179086127,-0.21742369534842595,-0.09877781362918536,0.26470683945043116,0.48230579359580433,0.4407782380205293,-0.280689942319585
Hsbp1l1,turquoise,0.6028579893957975,-0.5317085002984425,0.5886639440964552,-0.24202184019205997,0.3777900578308507,-0.20642337419751156,0.12692746137068334,0.12123614480214966,0.35535177725352035,0.3188419623060675,0.6028579893957975,-0.4939789197094642
ENSMUSG00000098645,yellow,0.7399153112218356,0.5859186791673887,-0.44958408459306914,0.015585499140630506,-0.2797101579932469,0.4642167164884954,-0.24208914941187998,0.13404897472320432,-0.5520429835790279,-0.14617304814061105,-0.5973841668115725,0.7399153112218356
Col9a3,grey,,0.20085478941884125,0.1465583549584399,0.38609844264666876,-0.057758660245252114,0.2655901370868459,-0.4072976950412912,-0.3648858080324686,-0.32785601776321477,0.09818059444965023,-0.15544086552726738,0.23968745826338272
ENSMUSG00000120366,grey,,0.11773653894098957,-0.06827166989405128,0.26552775271397816,0.034319874003116806,0.02299830714144295,-0.06137655848013556,-0.23685699796026655,-0.059076947205109316,0.06812468635220865,-0.1510776630958019,-0.026849196373964875
ENSMUSG00000090062,grey,,0.3267004675878837,-0.18764333674013392,0.21807131648697634,-0.1426338998082753,0.2980628070105156,-0.13977665391966368,-0.22190193760189533,-0.32966664195942696,-0.08156402519970975,-0.2771562957541976,0.3409568140119739
Otx1,blue,0.9197226903489726,-0.4440647725368005,0.9197226903489726,0.024371757159329252,0.4567904345247805,-0.20177583255322495,-0.06212311393651307,-0.15706449004770262,0.3686390464022187,0.5289784294189589,0.6211827984377456,-0.5146792160994236
ENSMUSG00000104239,yellow,0.7687459745557779,0.40731047509704427,-0.5063128924372068,-0.2534025716998805,-0.2534504187618143,0.4356059443765271,-0.19897507596228714,0.33818202962191934,-0.47738277364881165,-0.0986398024201862,-0.6327242912934403,0.7687459745557779
Mt1,turquoise,0.851556376126692,-0.6388260419072924,0.6601264590043777,0.15850569015733598,0.3345464183719788,-0.35987940317473044,0.13000765359920144,-0.3288019922823058,0.4756294422513551,0.2525011158354485,0.851556376126692,-0.772070616924938
Ptchd4,turquoise,0.4818457815216758,-0.3850373339553298,0.4089698107127136,-0.19209739753473398,0.1757392794958439,-0.1660411518398473,0.18037427720718793,0.05690507238589818,0.4293422672008599,0.12447939749645384,0.4818457815216758,-0.3634983325397068
Tmprss13,blue,0.6776102074671316,-0.25422244465226607,0.6776102074671316,0.12260754478769174,0.4781327730206788,-0.11950587393858332,-0.03655512532052263,-0.18348642634252435,0.2779034139055298,0.5895278065482955,0.5226690604061741,-0.4226730479220778
Clec11a,turquoise,0.43199876012922933,-0.06312891596804257,0.39044241926806006,0.0021580951420365323,0.2510007549043974,-0.22954883243673313,0.16095523495082129,0.02037017246924424,0.37559573500856464,0.18923333745150367,0.43199876012922933,-0.45089018486775573
St6galnac2,turquoise,0.5222510502245643,-0.30337110481580576,0.4402661642494812,0.09662010315246868,0.3174039315811004,-0.2530154999170364,0.16314481346524345,-0.21894394071634257,0.4695369572705915,0.2733458809462946,0.5222510502245643,-0.44979805517697585
Ager,brown,0.44193885504782704,0.10952215782496141,0.1652588796860151,0.44193885504782704,0.12312853327446051,-0.06369581051517748,-0.11604937073308332,-0.40431126163462655,-0.24486512462626844,0.049141723926167745,0.02494550625082292,-0.033578929375118305
ENSMUSG00000073631,grey,,-0.173997405610462,-0.01319165541576554,-0.2656096242598414,0.03524535751470132,0.02228192062767461,0.15992808869339598,0.2572509141675713,0.516754248401037,0.02092847171731206,0.04312988762401544,-0.18636798787061476
Numbl,turquoise,0.3997812315498405,-0.129280527345619,0.41469486257916754,0.5105885709247373,0.13898881962734097,-0.1782147283564701,-0.04194938419271428,-0.5542260068729795,0.1676944310355621,0.15324262037635814,0.3997812315498405,-0.38481640026595465
Wnt10a,salmon,0.4944466755190632,0.012543847154669437,0.3438470179753321,0.2466092384737748,0.34137051562769427,0.024730262152721675,-0.03042573817479457,-0.20037847674756595,0.1851668516062195,0.4944466755190632,0.14799889928427248,-0.1970151619145119
Tas2r117,greenyellow,0.5773996293515563,0.09434018523854557,-0.14258639672199414,-0.19935961087274615,-0.1762685407070964,0.5773996293515563,-0.2957451364790485,0.28002149091165857,-0.08071335094741669,0.02037815011836253,-0.26734143183414993,0.27634588473016575
ENSMUSG00000107199,yellow,0.662965686915341,0.5469692683564271,-0.39333105549886027,0.2319095476498064,-0.22829469654158072,0.3342523311616319,-0.26454193909816276,-0.17052274790033092,-0.533994717272215,-0.15898963694451532,-0.5272970075831848,0.662965686915341
ENSMUSG00000103420,yellow,0.7797110749459213,0.449405957959593,-0.49168025178415314,-0.10304932146944586,-0.26614454718440883,0.4691710372672214,-0.2706784585612949,0.20037562136174,-0.5507005539876553,-0.12039448893266828,-0.6022260634329056,0.7797110749459213
ENSMUSG00000107838,turquoise,0.5294541220066309,-0.38727953559524453,0.26871880605927845,-0.37174758783963385,0.20656685711491732,-0.2502189941585327,0.24135862916842335,0.2829614058652951,0.39580716629433327,0.09218108194943925,0.5294541220066309,-0.3847934321707534
ENSMUSG00000107050,yellow,0.7128489968453456,0.492763610156983,-0.48004814191584116,-0.11145392230699368,-0.24067172590583746,0.31185971965096976,-0.17681465691093032,0.19307830430126022,-0.5044106530090083,-0.1383633998930699,-0.5884352110976846,0.7128489968453456
ENSMUSG00000107254,yellow,0.9109924393822307,0.6007830918461682,-0.5539438449493174,0.021632163390621927,-0.2932760590400836,0.5686526484934067,-0.32847274207863886,0.10009523514032628,-0.6705016757834082,-0.1399800663540732,-0.734958941274194,0.9109924393822307
Nmur2,greenyellow,0.6620272428569078,0.24743315770712224,-0.2059170623092276,-0.03169288143373498,-0.14707991925493996,0.6620272428569078,-0.25941928239941525,0.09955201121766205,-0.3113623686731588,-0.04015058944177095,-0.3696539696793739,0.38862495352140636
D5Ertd605e,black,0.7484121574848764,0.7484121574848764,-0.35806738512712777,0.30189777677007923,-0.25669683201138926,0.4495870019230092,-0.349120252018126,-0.06309705740980154,-0.5249091789545879,-0.13149922744685338,-0.5226379804567863,0.594565101312192
Aadac,magenta,0.8481617948403297,-0.20622374380276015,-0.01023524662936072,-0.2548062420103858,0.4161392548477996,-0.25170905851582887,0.8481617948403297,0.21124033189176492,0.28890121844608047,0.13197925019727882,0.20922881065628962,-0.21072972161039596
ENSMUSG00000083854,grey,,-0.05767236772689716,0.05271466375010689,-0.03934786972369486,0.1356307720191808,-0.03698091489201031,0.18336597476107583,-0.03798986379359725,0.1887067032061296,0.08214017772381735,0.16668754088089474,-0.13767060122694666
Tgm2,turquoise,0.7695219589386113,-0.4843320369664084,0.5590234958648228,0.2392954649420296,0.31915393391646796,-0.40957924674385643,0.25768310850773923,-0.3787977904560207,0.4926294224385987,0.19379477875579554,0.7695219589386113,-0.7068350221598503
ENSMUSG00000086425,grey,,0.23255680633407524,-0.22598755095523376,0.048380244155862215,-0.17682836136401237,0.41808130420257233,-0.22014951133664296,-0.056869074057163474,-0.28395750617559024,0.009069790848926144,-0.3352296118760177,0.37723472331076735
