gene,beta_intercept,se_intercept,t_intercept,p_intercept,beta_isolation,se_isolation,t_isolation,p_isolation,beta_time_num,se_time_num,t_time_num,p_time_num,beta_iso_x_time,se_iso_x_time,t_iso_x_time,p_iso_x_time
ABHD1,7.292072321909091,0.2132371636330046,34.197004863839,0.0,-0.0886967961526739,0.49096818750513505,-0.180656910997408,0.8574480558646185,0.035390780030302826,0.09657741728311395,0.3664498495187106,0.7157468182498703,-0.043526428325172034,0.2991367601860071,-0.14550678525135707,0.8849605795132653
ABHD11,8.095280112848481,0.06892055441346207,117.45813976312489,0.0,-0.09891849239334823,0.1586862210400792,-0.6233590525062948,0.5361955074231999,0.060434313503496734,0.031214864377150497,1.936074838362427,0.05915500549586117,-0.058783046189392174,0.09668423180186886,-0.6079900009947219,0.5462505630486909
ABHD11-AS1,6.525693762181797,0.28526148140301594,22.876182687147764,0.0,-1.5791081283228328,0.6568006725624589,-2.40424255682026,0.020384454230590654,-0.009381306855471672,0.12919800964748057,-0.07261185277597357,0.9424367813669463,0.5366764528426617,0.40017506282170173,1.3411041883981119,0.1866167653160431
ABHD12,6.183684580545452,0.12474209453769976,49.57175525601431,0.0,0.28360752967891034,0.28721259942368377,0.98744807939482,0.32870288329061625,-0.04658047200233181,0.05649704353445272,-0.8244762750094412,0.41401793097533335,0.029965129931820322,0.17499269537764833,0.17123646142573642,0.8648055217274204
ABHD14A,11.629317732272721,0.10080674562986908,115.36249543231907,0.0,0.26883810301574734,0.23210262389049882,1.1582725714577857,0.25286317646803624,0.1623160355244746,0.04565646518542285,3.5551599289447116,0.0009019417883309178,-0.158953035043701,0.14141532732311496,-1.1240156074490761,0.26696684365767265
ABHD14B,9.569607572909087,0.10183922193766318,93.96779934912249,0.0,0.056658556860149124,0.23447985032159172,0.24163507773670653,0.810160681256092,0.18293506144055816,0.04612408487006832,3.9661504820287874,0.00025913477324701617,-0.08717802782516998,0.1428637222108555,-0.6102180908915571,0.5447868895932391
ABHD15,7.728859383545461,0.15858481567762248,48.736440185149846,0.0,0.7727002118904476,0.36513381716650795,2.1162110315793665,0.03989190575687784,-0.09754987213053831,0.07182477790233048,-1.3581646192235999,0.18118220257524542,-0.1495148269207441,0.22246848142354778,-0.6720719535819977,0.5049740400064309
ABHD17A,11.036376227090901,0.09385764809580953,117.58632834934251,0.0,-0.08535331253961405,0.21610266514519524,-0.3949664965134363,0.6947336011700029,0.04905142632867254,0.042509143767084256,1.1539029484440972,0.25463172439782644,0.07613808347902407,0.13166688344429475,0.5782629730978356,0.5659694633958423
ABHD17B,9.713052030818181,0.09868419069067659,98.42561369595184,0.0,0.6520519787843895,0.22721554448266656,2.869750748211384,0.006237335075248485,-0.06199122111888272,0.04469513710087971,-1.3869791019762323,0.1722803041353549,-0.13908022709906542,0.13843773093696338,-1.0046410480564334,0.32044153682775534
ABHD2,9.113983517181818,0.12614920068906374,72.24765172825973,0.0,-0.07758709406642143,0.29045239283020036,-0.26712499528891526,0.7905933585190423,-0.3276671979580422,0.057134337126369936,-5.73503105905135,7.711402143506518e-07,0.12584677915035294,0.17696663447993938,0.7111328048939005,0.48067198199480377
ABHD3,9.135494519636369,0.11615167233437076,78.65142477964184,0.0,0.7203702683572312,0.26743357053765376,2.6936418898681436,0.00989609879683484,-0.22041912639160927,0.052606348424678616,-4.189971989924444,0.0001285021545029963,0.08818637093648352,0.16294174223818328,0.5412141157026256,0.5910294482709908
ABHD4,10.228764395454538,0.14446998471467423,70.80200372178466,0.0,-0.07485490917889101,0.33263510607528873,-0.22503610656762227,0.8229699924660294,0.02850721600233075,0.06543201832625874,0.4356768556364465,0.6651540105814253,-0.3089941634318181,0.20266768904339647,-1.5246345625703286,0.1343481533851989
ABHD5,11.881529849090905,0.1332855703130246,89.14340705589379,0.0,-0.0691042724883297,0.306883536444889,-0.22518077472930725,0.8228581366425112,-0.05903163456876476,0.06036647609932114,-0.9778877016382377,0.33335794094521165,-0.32230149664918195,0.18697779037992845,-1.7237421406803624,0.09161944195047966
ABHD6,8.775031394818194,0.08952340283935675,98.01941298594683,0.0,0.6139105446690062,0.20612327646121453,2.9783659332842185,0.004655952588144441,-0.024229778477855984,0.0405461172213916,-0.5975856663550677,0.5531119195593648,-0.05590138193239763,0.125586648358734,-0.44512201466446677,0.6583654763266433
ABHD8,11.228452657272722,0.07170043443860948,156.6022959998467,0.0,-0.017590753875278444,0.16508675945549972,-0.10655460155192006,0.9156159527480228,0.13725851629370506,0.032473902101211184,4.2267330814114175,0.00011436878544079931,-0.16308586507575407,0.10058394745302791,-1.6213905817517666,0.1119207951474579
ABI1,9.379666094272727,0.08499005223337087,110.36192881159158,0.0,0.588792626983692,0.1956854574036659,3.0088726816787035,0.004284475933445275,-0.17131438370629629,0.038492913709838275,-4.45054341683962,5.585596920276714e-05,0.06454302391142325,0.11922710112992257,0.5413452419772438,0.5909398306025027
ABI2,7.854172808090915,0.1115939861238393,70.38168525833369,0.0,0.45152789154370954,0.25693971993545306,1.7573300525786353,0.08566337516438405,0.04077170727738899,0.0505421230546697,0.8066876659155694,0.42408951802036565,0.012866434780305774,0.1565480561483173,0.08218840333677355,0.9348613872539164
ABI3,10.849389466363633,0.09018814916632845,120.29728480573176,0.0,-0.2083759171969563,0.2076538225149301,-1.0034773965308261,0.32099621595790784,0.03440506839160867,0.04084718802121641,0.8422873166627373,0.4040815738033785,0.015480857441728113,0.12651917840747398,0.12235976898197751,0.9031589219015355
ABL1,8.163577104636364,0.10824182653344522,75.4198018093674,0.0,0.07266827063287297,0.2492215356833108,0.2915810242226159,0.7719469155510685,-0.0591548809044293,0.04902389372707338,-1.206654070232718,0.2338706323656985,0.1354204870198171,0.15184552614645164,0.8918306021687267,0.37722786016935594
ABL2,6.810517456363633,0.10775969837518617,63.200969927101156,0.0,0.4461687293703436,0.24811145907202634,1.7982592623455635,0.07884615904877612,0.024539398686478947,0.048805532670628926,0.502799525867007,0.6175572471014639,-0.06751864807430003,0.15116917943090316,-0.44664294883707856,0.6572750296506276
ABLIM1,10.89552006054545,0.14015573249268296,77.73866874203142,0.0,0.4975327820250692,0.3227017503797658,1.5417728024082813,0.13013236748709,0.12733579183100086,0.06347804684207152,2.0059815663169736,0.050891982574085004,-0.12342242582458884,0.19661550090543717,-0.6277349713334619,0.5333503119941385
ABLIM2,5.9268703060000005,0.15930214254259142,37.205214012833366,0.0,0.2162590366025694,0.3667854273490026,0.5896064033012828,0.5584034427494575,0.2968150666923063,0.0721496629964022,4.1138801536343585,0.0001633637154485612,-0.08833139791025457,0.22347477334154806,-0.39526339635325697,0.6945160587322305
ABLIM3,8.418560067545444,0.23873054211566994,35.26385854503056,0.0,-0.9990644795518514,0.5496654502794526,-1.8175864592615785,0.07578903101355539,-0.020210297925405685,0.10812364407458518,-0.18691839419936998,0.8525648045742171,-0.12039370352971746,0.3348997881477983,-0.35949172794515233,0.7209088071453613
ABO,8.43090366433332,0.17871131416716113,47.17610467822596,0.0,-1.3622044403012692,0.4114741000509694,-3.3105472255301915,0.0018404333470560807,0.05405686304274038,0.08094028670931071,0.6678610274371826,0.507633325676625,0.39925861623290837,0.2507026571623086,1.5925583747380165,0.11826033283934234
ABR,12.921445699999987,0.0931232711452343,138.75635532441515,0.0,0.04687217358975806,0.21441179797070026,0.21860818310083488,0.8279437117611439,0.007549793846152064,0.04217653650486767,0.17900459525121815,0.8587376251640602,-0.0874795889743537,0.13063667305316223,-0.6696403615449862,0.5065087136187614
ABRACL,11.614473120909098,0.10951414111231783,106.05455152131707,0.0,1.1135574871678435,0.2521509780566887,4.4162330669901,6.239040947408903e-05,0.08124265020978905,0.04960013875821931,1.6379520752112051,0.10840637025626121,-0.15416719674824786,0.15363037478435795,-1.003494243665313,0.3209881807920094
ABT1,6.955071178545452,0.11884801670262984,58.52071722785048,0.0,0.5333769251917316,0.27364177217014324,1.9491794727162193,0.05752362037859848,-0.0059305615920752786,0.05382755194640857,-0.11017706318838028,0.912758857307542,-0.0322176560681775,0.16672427106629592,-0.19323914785848148,0.8476412469637213
