gene,module_color,kME_assigned,kMEblue,kMEbrown,kMEred,kMEturquoise,kMEyellow
Krtap5-5,turquoise,0.9672000501925739,-0.5270439094087445,0.42737591250787216,-0.5447816122361088,0.9672000501925739,-0.39938293844265726
Krt87,turquoise,0.9696875178649886,-0.46177403626128355,0.4088714611017459,-0.48598105452754325,0.9696875178649886,-0.3533780371808664
Krtap19-5,turquoise,0.9290320411381001,-0.436397546802821,0.1565201711481608,-0.3882414405262177,0.9290320411381001,-0.12947738842143766
Krtap4-1,turquoise,0.9474501390593497,-0.4632548477163772,0.19479574322165802,-0.3929156263166152,0.9474501390593497,-0.16280505861075298
Krtap26-1,turquoise,0.9761060757879494,-0.5041232007786275,0.3403486963357337,-0.48460074066958553,0.9761060757879494,-0.3026862960451032
Gm19668,turquoise,0.9318987229691066,-0.5139154747030643,0.5431136730280074,-0.5930527817813507,0.9318987229691066,-0.5109144002551367
Krtap5-4,turquoise,0.9654182263131158,-0.5220138530462043,0.3418845380490835,-0.4829690380261029,0.9654182263131158,-0.3126749288459544
Krt40,turquoise,0.9714351870536007,-0.4887993358355539,0.4270118858412377,-0.5280613644336367,0.9714351870536007,-0.38609400670268107
ENSMUSG00000087581,turquoise,0.9692593267819221,-0.4169351864879834,0.23685955555762064,-0.4181361345632686,0.9692593267819221,-0.21655351509368653
Krtap4-6,turquoise,0.9532502751816508,-0.49483105438410036,0.35576577453595976,-0.47744174262758754,0.9532502751816508,-0.2989406048770816
Kcne1,turquoise,0.9671708554504268,-0.39049164899227284,0.27528523439002345,-0.4126722554238774,0.9671708554504268,-0.24533245423729738
Krtap4-8,turquoise,0.9466371518727971,-0.505795167057426,0.32534963575884013,-0.4581989714485187,0.9466371518727971,-0.29065639058668613
ENSMUSG00000113973,turquoise,0.9526332356262668,-0.4987021404764864,0.18708463572463585,-0.40024883037896225,0.9526332356262668,-0.1716941688388594
Gm40460,turquoise,0.9204266827543233,-0.5127163320514104,0.5641585361421297,-0.6088407302724191,0.9204266827543233,-0.5302459367558712
Krt39,turquoise,0.9701608839541335,-0.47643648041948855,0.3445053563926324,-0.5082384916039352,0.9701608839541335,-0.2878248340921229
Krtap19-2,turquoise,0.9460338442388952,-0.4544302795218136,0.2950767232789261,-0.47622610793701026,0.9460338442388952,-0.27252454946733556
Gm11559,turquoise,0.9433307261092829,-0.47809395776758323,0.1742988433423591,-0.361796302623768,0.9433307261092829,-0.1480079616894486
Krtap11-1,turquoise,0.9726952737862402,-0.4455043189661933,0.38075428561930796,-0.47060452208718495,0.9726952737862402,-0.32034362391244564
Krt26,turquoise,0.9582510125479599,-0.4152652457486898,0.22869885284935504,-0.34654191216432795,0.9582510125479599,-0.1873437809034442
ENSMUSG00000113084,turquoise,0.9539328227055478,-0.4934953033690124,0.23148966964710463,-0.4268403063762898,0.9539328227055478,-0.22768946775657334
Gm11568,turquoise,0.9502003992484507,-0.49630390149955206,0.26570786249609013,-0.4116136425523293,0.9502003992484507,-0.24225075962794848
Krtap8-1,turquoise,0.9763465220957485,-0.4433051899666016,0.25341326356001365,-0.3930644002662991,0.9763465220957485,-0.21468205229933127
Krtap13-1,turquoise,0.9731709852134701,-0.49762633867255907,0.30569979877206677,-0.42317788565850417,0.9731709852134701,-0.26572111929323544
2310061N02Rik,turquoise,0.9503289570280279,-0.5317040612616585,0.2631480104318668,-0.39800179075339787,0.9503289570280279,-0.25674301427170604
Krt85,turquoise,0.9473726701345361,-0.4456734583650915,0.29431245716812077,-0.36782216053901295,0.9473726701345361,-0.2503502687370507
1110025L11Rik,turquoise,0.943535919986037,-0.44860509327065046,0.22782135340386192,-0.3937682583361008,0.943535919986037,-0.1846139798762721
Kcnk16,turquoise,0.9672592116728261,-0.4295964148659871,0.2939902502023615,-0.3941854755962763,0.9672592116728261,-0.2612684347755296
Calhm4,turquoise,0.9576981414642645,-0.45488595568014917,0.18522771752079464,-0.3277870755329409,0.9576981414642645,-0.1579862234476093
ENSMUSG00000113267,turquoise,0.9666425369917381,-0.5196652822170598,0.3773760967745527,-0.5185248099943498,0.9666425369917381,-0.33866468611723255
