pert_id,perturbation,rev_thymus,rev_gastrocnemius,rev_skin,rev_eye,rev_liver,rev_kidney,n_tissues,mean_rev,min_rev,max_rev
BRD-K01896723,2-morpholino-N-((5-nitro-1H-benzo[d]imidazol-2-yl)methyl)-9-(thiophen-3-yl)-9H-purin-6-amine,,,,,0.06,,1,0.06,0.06,0.06
BRD-A76528577,-666,,,,,0.06,,1,0.06,0.06,0.06
BRD-K57238941,NCGC00167097-01,,,,,0.06,,1,0.06,0.06,0.06
BRD-K00910650,NCGC00242335-01,,,,,0.06,,1,0.06,0.06,0.06
BRD-A96799240,GR-109,,,,,0.06,,1,0.06,0.06,0.06
BRD-K00603606,-666,,,,,0.06,,1,0.06,0.06,0.06
BRD-A34806832,-666,,,,0.0588,0.06,,2,0.059399999999999994,0.0588,0.06
BRD-A67788537,Salermide,,,,0.0588,0.06,,2,0.059399999999999994,0.0588,0.06
BRD-K92317137,-666,,,,0.0588,,,1,0.0588,0.0588,0.0588
BRD-K37798499,-666,,,,0.0588,,,1,0.0588,0.0588,0.0588
BRD-A25687296,-666,,,,0.0588,,,1,0.0588,0.0588,0.0588
BRD-K12867552,-666,,,,0.0588,,,1,0.0588,0.0588,0.0588
BRD-A24643465,homoharringtonine,,,,0.0588,,,1,0.0588,0.0588,0.0588
BRD-K15409150,penfluridol,,,,0.0588,,,1,0.0588,0.0588,0.0588
BRD-M86331534,BJM-ctd2-9,,,,0.0588,,,1,0.0588,0.0588,0.0588
BRD-A18419789,Etoposide,,,,0.0588,,,1,0.0588,0.0588,0.0588
BRD-A94756469,DIGOXIN,,,,0.0588,,,1,0.0588,0.0588,0.0588
BRD-K07877311,7811943,,,,0.0588,,,1,0.0588,0.0588,0.0588
BRD-K12502280,TG101348,,,,0.0588,,,1,0.0588,0.0588,0.0588
BRD-A35588707,-666,,,,0.0588,,,1,0.0588,0.0588,0.0588
BRD-K64890080,BI 2536,,,,0.0588,,,1,0.0588,0.0588,0.0588
BRD-K64822626,KUC104135 KUC104135N,,,,0.0588,,,1,0.0588,0.0588,0.0588
BRD-A71459254,-666,,,,0.0588,,,1,0.0588,0.0588,0.0588
BRD-K01976263,Emetine Dihydrochloride Hydrate (74),,,,0.0588,,,1,0.0588,0.0588,0.0588
BRD-K74710236,-666,,,,0.0588,,,1,0.0588,0.0588,0.0588
BRD-K53780220,N-((1H-benzo[d]imidazol-2-yl)methyl)-2-morpholino-9-(thiophen-3-yl)-9H-purin-6-amine,,,,0.0588,,,1,0.0588,0.0588,0.0588
BRD-A49680073,Cucurbitacin I,,,,0.0588,,,1,0.0588,0.0588,0.0588
BRD-K78385490,-666,,,,0.0588,,,1,0.0588,0.0588,0.0588
BRD-K04853698,-666,,,,0.0588,,,1,0.0588,0.0588,0.0588
BRD-A46747628,-666,,,,0.0588,,,1,0.0588,0.0588,0.0588
BRD-K52075040,-666,,,,0.0588,,,1,0.0588,0.0588,0.0588
BRD-K80786583,-666,,,,0.0588,,,1,0.0588,0.0588,0.0588
BRD-K50387473,XMD-892,,,,0.0588,,,1,0.0588,0.0588,0.0588
BRD-A35588707,TENIPOSIDE,,,,0.0588,,,1,0.0588,0.0588,0.0588
BRD-K85853281,-666,,,,0.0588,,,1,0.0588,0.0588,0.0588
BRD-K24681473,S1130,,,,0.0588,,,1,0.0588,0.0588,0.0588
